# 10000 replications, problems/RPI.dat
# Fri Sep  6 14:38:43 2013
# BIZUNK n0 = 30
k=4 PCS=0.898+/-0.003 E[N]/k=603.479+/-3.473 E[stages]=306.944+/-2.413
k=4 PCS=0.821+/-0.004 E[N]/k=761.825+/-4.172 E[stages]=364.244+/-2.774
k=3 PCS=0.964+/-0.002 E[N]/k=389.706+/-2.335 E[stages]=165.115+/-1.309
k=9 PCS=0.934+/-0.002 E[N]/k=727.977+/-2.848 E[stages]=436.717+/-3.242
k=3 PCS=0.878+/-0.003 E[N]/k=521.491+/-3.505 E[stages]=232.673+/-1.995
k=1458 PCS=0.971+/-0.002 E[N]/k=686.540+/-0.460 E[stages]=394.017+/-2.733
k=3 PCS=0.800+/-0.004 E[N]/k=649.431+/-4.066 E[stages]=283.823+/-2.193
k=11 PCS=0.947+/-0.002 E[N]/k=713.688+/-2.495 E[stages]=418.774+/-3.190
k=8 PCS=0.868+/-0.003 E[N]/k=870.754+/-3.601 E[stages]=497.121+/-3.713
k=8942 PCS=0.968+/-0.002 E[N]/k=636.280+/-0.243 E[stages]=263.283+/-1.887
k=6 PCS=0.849+/-0.004 E[N]/k=859.670+/-4.022 E[stages]=465.589+/-3.521
k=2 PCS=0.804+/-0.004 E[N]/k=344.587+/-2.798 E[stages]=121.854+/-1.120
k=19 PCS=0.847+/-0.004 E[N]/k=1009.898+/-3.180 E[stages]=687.326+/-5.174
k=25 PCS=0.903+/-0.003 E[N]/k=910.207+/-2.516 E[stages]=620.569+/-4.857
k=80 PCS=0.965+/-0.002 E[N]/k=787.165+/-1.411 E[stages]=500.024+/-3.693
k=5496 PCS=0.977+/-0.001 E[N]/k=624.857+/-0.295 E[stages]=211.049+/-1.630
k=2 PCS=0.799+/-0.004 E[N]/k=346.469+/-2.807 E[stages]=122.604+/-1.122
k=22 PCS=0.966+/-0.002 E[N]/k=708.040+/-1.892 E[stages]=423.123+/-3.287
k=8926 PCS=0.962+/-0.002 E[N]/k=692.781+/-0.270 E[stages]=323.912+/-2.032
k=10296 PCS=0.965+/-0.002 E[N]/k=677.982+/-0.253 E[stages]=300.791+/-1.958
k=2867 PCS=0.970+/-0.002 E[N]/k=652.300+/-0.351 E[stages]=321.259+/-2.334
k=20 PCS=0.893+/-0.003 E[N]/k=920.176+/-2.738 E[stages]=612.757+/-4.567
k=4 PCS=0.962+/-0.002 E[N]/k=514.595+/-2.567 E[stages]=219.012+/-1.583
k=4 PCS=0.837+/-0.004 E[N]/k=743.120+/-4.005 E[stages]=356.208+/-2.655
k=6491 PCS=0.966+/-0.002 E[N]/k=685.627+/-0.291 E[stages]=327.063+/-2.113
k=870 PCS=0.968+/-0.002 E[N]/k=669.811+/-0.524 E[stages]=406.032+/-2.906
k=12 PCS=0.845+/-0.004 E[N]/k=982.295+/-3.597 E[stages]=622.124+/-4.667
k=609 PCS=0.975+/-0.002 E[N]/k=709.614+/-0.658 E[stages]=394.985+/-2.843
k=733 PCS=0.971+/-0.002 E[N]/k=709.261+/-0.599 E[stages]=422.973+/-2.875
k=490 PCS=0.970+/-0.002 E[N]/k=702.617+/-0.682 E[stages]=423.501+/-3.095
k=9 PCS=0.855+/-0.004 E[N]/k=938.835+/-3.781 E[stages]=557.497+/-4.252
k=4451 PCS=0.965+/-0.002 E[N]/k=698.493+/-0.343 E[stages]=350.442+/-2.317
k=253 PCS=0.963+/-0.002 E[N]/k=724.254+/-0.875 E[stages]=497.424+/-3.571
k=2 PCS=0.926+/-0.003 E[N]/k=264.020+/-2.057 E[stages]=89.728+/-0.822
k=1176 PCS=0.979+/-0.001 E[N]/k=624.868+/-0.435 E[stages]=299.850+/-2.351
k=763 PCS=0.966+/-0.002 E[N]/k=725.346+/-0.625 E[stages]=434.640+/-3.048
k=629 PCS=0.974+/-0.002 E[N]/k=714.322+/-0.644 E[stages]=425.966+/-2.951
k=2 PCS=0.862+/-0.003 E[N]/k=317.423+/-2.521 E[stages]=111.012+/-1.006
k=27 PCS=0.940+/-0.002 E[N]/k=778.483+/-2.027 E[stages]=545.359+/-4.059
k=5 PCS=0.875+/-0.003 E[N]/k=758.238+/-3.767 E[stages]=374.800+/-2.879
k=2 PCS=0.808+/-0.004 E[N]/k=345.677+/-2.875 E[stages]=122.382+/-1.149
