# 10000 replications, problems/RPI_heteroA.dat
# Fri Sep  6 14:38:45 2013
# BIZUNK n0 = 30
k=4 PCS=0.911+/-0.003 E[N]/k=1052.002+/-5.931 E[stages]=546.296+/-4.123
k=4 PCS=0.832+/-0.004 E[N]/k=1127.091+/-6.145 E[stages]=535.515+/-3.967
k=3 PCS=0.965+/-0.002 E[N]/k=484.257+/-2.823 E[stages]=207.581+/-1.586
k=9 PCS=0.936+/-0.002 E[N]/k=1145.429+/-4.610 E[stages]=694.329+/-5.244
k=3 PCS=0.882+/-0.003 E[N]/k=704.786+/-4.625 E[stages]=314.468+/-2.597
k=1458 PCS=0.973+/-0.002 E[N]/k=1004.956+/-0.670 E[stages]=559.453+/-3.865
k=3 PCS=0.805+/-0.004 E[N]/k=1056.357+/-6.774 E[stages]=441.689+/-3.549
k=11 PCS=0.951+/-0.002 E[N]/k=1064.139+/-3.785 E[stages]=649.870+/-4.925
k=8 PCS=0.875+/-0.003 E[N]/k=1219.558+/-5.194 E[stages]=707.951+/-5.473
k=8942 PCS=0.974+/-0.002 E[N]/k=921.141+/-0.348 E[stages]=385.197+/-2.868
k=6 PCS=0.840+/-0.004 E[N]/k=1130.144+/-5.455 E[stages]=604.467+/-4.759
k=2 PCS=0.799+/-0.004 E[N]/k=514.994+/-4.124 E[stages]=190.045+/-1.655
k=19 PCS=0.860+/-0.003 E[N]/k=1445.983+/-4.542 E[stages]=991.406+/-7.437
k=25 PCS=0.907+/-0.003 E[N]/k=1398.987+/-3.791 E[stages]=963.563+/-7.338
k=80 PCS=0.968+/-0.002 E[N]/k=1162.022+/-2.116 E[stages]=716.482+/-5.493
k=5496 PCS=0.982+/-0.001 E[N]/k=904.080+/-0.424 E[stages]=306.251+/-2.507
k=2 PCS=0.803+/-0.004 E[N]/k=381.969+/-3.137 E[stages]=137.248+/-1.259
k=22 PCS=0.969+/-0.002 E[N]/k=971.288+/-2.462 E[stages]=557.457+/-4.030
k=8926 PCS=0.972+/-0.002 E[N]/k=1007.170+/-0.382 E[stages]=466.628+/-3.023
k=10296 PCS=0.973+/-0.002 E[N]/k=982.372+/-0.351 E[stages]=429.067+/-2.915
k=2867 PCS=0.972+/-0.002 E[N]/k=944.089+/-0.503 E[stages]=444.101+/-3.089
k=20 PCS=0.891+/-0.003 E[N]/k=1426.366+/-4.245 E[stages]=962.799+/-7.477
k=4 PCS=0.965+/-0.002 E[N]/k=783.844+/-3.902 E[stages]=342.658+/-2.451
k=4 PCS=0.842+/-0.004 E[N]/k=1011.877+/-5.569 E[stages]=483.063+/-3.687
k=6491 PCS=0.968+/-0.002 E[N]/k=995.247+/-0.418 E[stages]=467.127+/-3.064
k=870 PCS=0.972+/-0.002 E[N]/k=987.757+/-0.776 E[stages]=609.136+/-4.515
k=12 PCS=0.851+/-0.004 E[N]/k=1367.234+/-5.057 E[stages]=828.298+/-6.432
k=609 PCS=0.979+/-0.001 E[N]/k=1044.130+/-0.963 E[stages]=566.718+/-4.083
k=733 PCS=0.974+/-0.002 E[N]/k=1037.883+/-0.896 E[stages]=632.779+/-4.521
k=490 PCS=0.976+/-0.002 E[N]/k=1017.130+/-0.987 E[stages]=599.872+/-4.198
k=9 PCS=0.859+/-0.003 E[N]/k=1492.858+/-6.074 E[stages]=921.932+/-7.145
k=4451 PCS=0.970+/-0.002 E[N]/k=1014.307+/-0.488 E[stages]=511.525+/-3.425
k=253 PCS=0.968+/-0.002 E[N]/k=1052.262+/-1.284 E[stages]=712.181+/-5.044
k=2 PCS=0.930+/-0.003 E[N]/k=356.154+/-2.718 E[stages]=118.533+/-1.038
k=1176 PCS=0.982+/-0.001 E[N]/k=907.138+/-0.640 E[stages]=418.721+/-3.222
k=763 PCS=0.969+/-0.002 E[N]/k=1070.757+/-0.933 E[stages]=645.654+/-4.530
k=629 PCS=0.976+/-0.002 E[N]/k=1046.435+/-0.935 E[stages]=618.886+/-4.383
k=2 PCS=0.857+/-0.004 E[N]/k=398.833+/-3.155 E[stages]=140.589+/-1.250
k=27 PCS=0.945+/-0.002 E[N]/k=1150.009+/-3.085 E[stages]=776.681+/-5.970
k=5 PCS=0.884+/-0.003 E[N]/k=1028.424+/-5.181 E[stages]=510.069+/-3.960
k=2 PCS=0.812+/-0.004 E[N]/k=541.777+/-4.401 E[stages]=197.216+/-1.747
k=80 PCS=0.972+/-0.002 E[N]/k=922.563+/-1.473 E[stages]=595.798+/-4.411
k=15 PCS=0.887+/-0.003 E[N]/k=1290.691+/-4.252 E[stages]=778.147+/-6.042
k=8379 PCS=0.981+/-0.001 E[N]/k=932.868+/-0.395 E[stages]=301.755+/-2.279
k=135 PCS=0.939+/-0.002 E[N]/k=1274.737+/-2.041 E[stages]=922.702+/-7.226
k=3 PCS=0.856+/-0.004 E[N]/k=787.541+/-5.000 E[stages]=343.001+/-2.741
k=3 PCS=0.821+/-0.004 E[N]/k=964.916+/-6.290 E[stages]=413.802+/-3.350
k=69 PCS=0.959+/-0.002 E[N]/k=1110.114+/-2.062 E[stages]=772.442+/-5.814
k=33 PCS=0.978+/-0.001 E[N]/k=824.106+/-1.744 E[stages]=593.969+/-4.543
k=14239 PCS=0.966+/-0.002 E[N]/k=1041.989+/-0.357 E[stages]=460.242+/-2.736
k=182 PCS=0.978+/-0.001 E[N]/k=935.612+/-1.179 E[stages]=626.559+/-5.357
k=2 PCS=0.983+/-0.001 E[N]/k=260.655+/-1.743 E[stages]=78.079+/-0.644
k=15191 PCS=0.966+/-0.002 E[N]/k=986.354+/-0.326 E[stages]=416.030+/-2.824
k=177 PCS=0.984+/-0.001 E[N]/k=1024.417+/-1.382 E[stages]=549.016+/-3.847
k=85 PCS=0.994+/-0.001 E[N]/k=767.618+/-1.153 E[stages]=392.510+/-3.554
