# 10000 replications, problems/RPI_hetero.dat
# Fri Sep  6 14:38:44 2013
# BIZUNK n0 = 30
k=4 PCS=0.909+/-0.003 E[N]/k=1618.608+/-9.085 E[stages]=844.683+/-6.304
k=4 PCS=0.825+/-0.004 E[N]/k=1258.137+/-6.770 E[stages]=464.071+/-3.988
k=3 PCS=0.962+/-0.002 E[N]/k=321.111+/-1.759 E[stages]=117.140+/-0.927
k=9 PCS=0.936+/-0.002 E[N]/k=1544.914+/-6.491 E[stages]=829.873+/-6.940
k=3 PCS=0.878+/-0.003 E[N]/k=651.528+/-4.534 E[stages]=179.761+/-1.665
k=1458 PCS=0.937+/-0.002 E[N]/k=1329.116+/-0.909 E[stages]=186.470+/-1.678
k=3 PCS=0.794+/-0.004 E[N]/k=1629.240+/-10.634 E[stages]=362.649+/-5.204
k=11 PCS=0.946+/-0.002 E[N]/k=1247.223+/-4.579 E[stages]=618.270+/-5.230
k=8 PCS=0.868+/-0.003 E[N]/k=1262.776+/-5.910 E[stages]=466.539+/-5.093
k=8942 PCS=0.934+/-0.002 E[N]/k=1307.051+/-0.664 E[stages]=106.535+/-1.013
k=6 PCS=0.840+/-0.004 E[N]/k=964.692+/-5.175 E[stages]=333.424+/-3.271
k=2 PCS=0.808+/-0.004 E[N]/k=570.170+/-4.702 E[stages]=209.007+/-1.868
k=19 PCS=0.847+/-0.004 E[N]/k=1620.435+/-5.171 E[stages]=615.406+/-6.312
k=25 PCS=0.902+/-0.003 E[N]/k=1872.604+/-5.572 E[stages]=736.631+/-8.703
k=80 PCS=0.953+/-0.002 E[N]/k=1445.436+/-2.744 E[stages]=321.781+/-3.589
k=5496 PCS=0.955+/-0.002 E[N]/k=1254.611+/-0.703 E[stages]=76.914+/-0.787
k=2 PCS=0.805+/-0.004 E[N]/k=152.009+/-1.219 E[stages]=45.230+/-0.482
k=22 PCS=0.967+/-0.002 E[N]/k=954.891+/-2.264 E[stages]=303.877+/-2.272
k=8926 PCS=0.926+/-0.003 E[N]/k=1416.454+/-0.692 E[stages]=140.655+/-1.162
k=10296 PCS=0.927+/-0.003 E[N]/k=1377.790+/-0.659 E[stages]=118.745+/-0.985
k=2867 PCS=0.939+/-0.002 E[N]/k=1263.700+/-0.730 E[stages]=119.936+/-0.987
k=20 PCS=0.891+/-0.003 E[N]/k=1871.016+/-5.674 E[stages]=769.787+/-8.146
k=4 PCS=0.964+/-0.002 E[N]/k=975.975+/-4.992 E[stages]=391.395+/-3.012
k=4 PCS=0.839+/-0.004 E[N]/k=995.145+/-5.903 E[stages]=308.558+/-2.980
k=6491 PCS=0.930+/-0.003 E[N]/k=1378.350+/-0.702 E[stages]=140.346+/-1.165
k=870 PCS=0.944+/-0.002 E[N]/k=1299.794+/-1.032 E[stages]=256.944+/-2.505
k=12 PCS=0.843+/-0.004 E[N]/k=1489.216+/-6.189 E[stages]=434.562+/-5.538
k=609 PCS=0.958+/-0.002 E[N]/k=1346.410+/-1.265 E[stages]=200.912+/-1.660
k=733 PCS=0.949+/-0.002 E[N]/k=1329.603+/-1.152 E[stages]=278.824+/-2.818
k=490 PCS=0.950+/-0.002 E[N]/k=1245.363+/-1.208 E[stages]=223.447+/-1.925
k=9 PCS=0.847+/-0.004 E[N]/k=2039.206+/-8.528 E[stages]=1083.235+/-9.433
k=4451 PCS=0.936+/-0.002 E[N]/k=1375.861+/-0.741 E[stages]=164.071+/-1.367
k=253 PCS=0.949+/-0.002 E[N]/k=1278.743+/-1.587 E[stages]=313.571+/-2.609
k=2 PCS=0.927+/-0.003 E[N]/k=379.773+/-2.646 E[stages]=41.816+/-0.461
k=1176 PCS=0.956+/-0.002 E[N]/k=1180.825+/-0.857 E[stages]=116.207+/-1.242
k=763 PCS=0.946+/-0.002 E[N]/k=1401.452+/-1.241 E[stages]=252.415+/-2.468
k=629 PCS=0.949+/-0.002 E[N]/k=1335.547+/-1.181 E[stages]=230.305+/-2.202
k=2 PCS=0.862+/-0.003 E[N]/k=323.066+/-2.514 E[stages]=64.527+/-0.678
k=27 PCS=0.940+/-0.002 E[N]/k=1404.491+/-4.025 E[stages]=459.438+/-5.075
k=5 PCS=0.881+/-0.003 E[N]/k=1040.409+/-6.497 E[stages]=344.010+/-3.534
k=2 PCS=0.807+/-0.004 E[N]/k=713.268+/-5.833 E[stages]=210.464+/-1.904
k=80 PCS=0.954+/-0.002 E[N]/k=1055.504+/-1.530 E[stages]=166.367+/-1.424
k=15 PCS=0.868+/-0.003 E[N]/k=1351.716+/-4.740 E[stages]=350.298+/-3.676
k=8379 PCS=0.954+/-0.002 E[N]/k=1323.604+/-0.694 E[stages]=82.146+/-0.814
k=135 PCS=0.930+/-0.003 E[N]/k=1568.005+/-2.557 E[stages]=581.920+/-6.179
k=3 PCS=0.860+/-0.003 E[N]/k=769.473+/-5.367 E[stages]=253.193+/-2.213
k=3 PCS=0.820+/-0.004 E[N]/k=1252.619+/-8.832 E[stages]=359.555+/-3.542
k=69 PCS=0.951+/-0.002 E[N]/k=1333.751+/-2.424 E[stages]=454.363+/-4.415
k=33 PCS=0.968+/-0.002 E[N]/k=904.378+/-1.830 E[stages]=326.262+/-3.102
k=14239 PCS=0.920+/-0.003 E[N]/k=1467.137+/-0.691 E[stages]=123.716+/-0.837
k=182 PCS=0.966+/-0.002 E[N]/k=1158.784+/-1.510 E[stages]=351.186+/-4.578
k=2 PCS=0.985+/-0.001 E[N]/k=358.440+/-1.928 E[stages]=17.676+/-0.222
k=15191 PCS=0.927+/-0.003 E[N]/k=1417.686+/-0.675 E[stages]=114.699+/-0.980
k=177 PCS=0.972+/-0.002 E[N]/k=1244.129+/-1.663 E[stages]=209.811+/-1.764
k=85 PCS=0.987+/-0.001 E[N]/k=945.030+/-1.413 E[stages]=211.418+/-2.789
k=9 PCS=0.882+/-0.003 E[N]/k=966.219+/-3.965 E[stages]=329.723+/-3.152
k=11 PCS=0.864+/-0.003 E[N]/k=2163.289+/-8.582 E[stages]=1020.089+/-10.245
