# 10000 replications, problems/RPI.dat
# Fri Sep  6 14:38:44 2013
# KNUNK n0 = 30
k=4 PCS=0.942+/-0.002 E[N]/k=844.951+/-3.301 E[stages]=1163.090+/-5.309
k=4 PCS=0.879+/-0.003 E[N]/k=1073.096+/-4.002 E[stages]=1356.047+/-5.668
k=3 PCS=0.981+/-0.001 E[N]/k=540.234+/-2.410 E[stages]=645.262+/-3.270
k=9 PCS=0.971+/-0.002 E[N]/k=1219.620+/-3.285 E[stages]=2055.071+/-7.426
k=3 PCS=0.905+/-0.003 E[N]/k=692.096+/-3.155 E[stages]=836.953+/-4.306
k=1458 PCS=1.000+/-0.000 E[N]/k=2363.596+/-3.096 E[stages]=8649.076+/-18.305
k=3 PCS=0.844+/-0.004 E[N]/k=845.750+/-3.732 E[stages]=976.963+/-4.587
k=11 PCS=0.981+/-0.001 E[N]/k=1261.677+/-3.221 E[stages]=2176.693+/-7.829
k=8 PCS=0.933+/-0.002 E[N]/k=1421.026+/-4.067 E[stages]=2205.150+/-7.996
k=8942 PCS=1.000+/-0.000 E[N]/k=2490.702+/-3.189 E[stages]=10603.299+/-20.953
k=6 PCS=0.916+/-0.003 E[N]/k=1313.905+/-4.091 E[stages]=1877.952+/-7.073
k=2 PCS=0.805+/-0.004 E[N]/k=372.476+/-2.232 E[stages]=373.476+/-2.232
k=19 PCS=0.941+/-0.002 E[N]/k=1900.800+/-4.272 E[stages]=3530.522+/-10.800
k=25 PCS=0.968+/-0.002 E[N]/k=1840.788+/-3.879 E[stages]=3620.281+/-11.036
k=80 PCS=0.993+/-0.001 E[N]/k=1916.349+/-3.403 E[stages]=4603.786+/-12.517
k=5496 PCS=1.000+/-0.000 E[N]/k=2310.606+/-3.200 E[stages]=9002.119+/-19.338
k=2 PCS=0.805+/-0.004 E[N]/k=372.476+/-2.232 E[stages]=373.476+/-2.232
k=22 PCS=0.992+/-0.001 E[N]/k=1432.574+/-3.064 E[stages]=2809.843+/-9.129
k=8926 PCS=1.000+/-0.000 E[N]/k=2837.955+/-3.356 E[stages]=11747.169+/-21.705
k=10296 PCS=1.000+/-0.000 E[N]/k=2789.605+/-3.389 E[stages]=11685.091+/-21.619
k=2867 PCS=1.000+/-0.000 E[N]/k=2354.606+/-3.064 E[stages]=9197.406+/-19.269
k=20 PCS=0.962+/-0.002 E[N]/k=1772.778+/-3.975 E[stages]=3375.556+/-10.692
k=4 PCS=0.989+/-0.001 E[N]/k=762.917+/-2.763 E[stages]=932.444+/-3.770
k=4 PCS=0.885+/-0.003 E[N]/k=1055.176+/-3.997 E[stages]=1341.295+/-5.741
k=6491 PCS=1.000+/-0.000 E[N]/k=2719.961+/-3.287 E[stages]=11104.967+/-21.011
k=870 PCS=0.999+/-0.000 E[N]/k=2171.513+/-2.923 E[stages]=7753.964+/-17.151
k=12 PCS=0.927+/-0.003 E[N]/k=1696.399+/-4.289 E[stages]=2873.662+/-9.443
k=609 PCS=0.999+/-0.000 E[N]/k=2228.967+/-3.119 E[stages]=7159.824+/-16.189
k=733 PCS=0.998+/-0.000 E[N]/k=2272.481+/-3.092 E[stages]=7645.303+/-17.137
k=490 PCS=0.999+/-0.000 E[N]/k=2150.599+/-3.031 E[stages]=6946.334+/-16.094
