# 10000 replications, problems/RPI_hetero.dat
# Fri Sep  6 14:38:49 2013
# KNUNK n0 = 30
k=4 PCS=0.938+/-0.002 E[N]/k=2284.089+/-8.904 E[stages]=3116.580+/-14.140
k=4 PCS=0.894+/-0.003 E[N]/k=1838.420+/-7.162 E[stages]=2412.239+/-10.700
k=3 PCS=0.978+/-0.001 E[N]/k=446.758+/-1.779 E[stages]=509.119+/-2.217
k=9 PCS=0.970+/-0.002 E[N]/k=2520.824+/-6.998 E[stages]=4795.383+/-17.340
k=3 PCS=0.908+/-0.003 E[N]/k=891.721+/-4.338 E[stages]=1141.076+/-6.282
k=1458 PCS=0.999+/-0.000 E[N]/k=3806.045+/-7.130 E[stages]=18380.208+/-34.910
k=3 PCS=0.852+/-0.004 E[N]/k=2247.414+/-10.791 E[stages]=2743.794+/-14.443
k=11 PCS=0.980+/-0.001 E[N]/k=2505.299+/-6.739 E[stages]=4732.877+/-18.319
k=8 PCS=0.947+/-0.002 E[N]/k=2399.118+/-7.700 E[stages]=4616.934+/-20.602
k=8942 PCS=1.000+/-0.000 E[N]/k=4806.557+/-8.339 E[stages]=28872.834+/-33.434
k=6 PCS=0.901+/-0.003 E[N]/k=1383.043+/-4.952 E[stages]=2395.623+/-10.719
k=2 PCS=0.814+/-0.004 E[N]/k=610.739+/-3.783 E[stages]=611.739+/-3.783
k=19 PCS=0.969+/-0.002 E[N]/k=3928.439+/-10.036 E[stages]=8873.568+/-30.698
k=25 PCS=0.975+/-0.002 E[N]/k=4438.445+/-10.298 E[stages]=11110.471+/-37.124
k=80 PCS=0.990+/-0.001 E[N]/k=2717.249+/-5.823 E[stages]=9187.385+/-22.221
k=5496 PCS=1.000+/-0.000 E[N]/k=2914.890+/-5.506 E[stages]=17065.082+/-33.647
k=2 PCS=0.806+/-0.004 E[N]/k=161.332+/-0.967 E[stages]=162.332+/-0.967
k=22 PCS=0.991+/-0.001 E[N]/k=1635.889+/-2.972 E[stages]=3607.728+/-8.941
k=8926 PCS=1.000+/-0.000 E[N]/k=5106.948+/-8.780 E[stages]=27693.360+/-40.217
k=10296 PCS=1.000+/-0.000 E[N]/k=6941.517+/-12.499 E[stages]=37055.663+/--nan
