# 10000 replications, RPI.dat
# Wed Sep 19 17:52:38 2012
# BIZUNK n0 = 100
k=4 PCS=0.906+/-0.003 E[N]/k=591.534+/-3.362 E[stages]=277.297+/-2.332
k=4 PCS=0.824+/-0.004 E[N]/k=770.919+/-4.168 E[stages]=346.472+/-2.728
k=3 PCS=0.962+/-0.002 E[N]/k=383.728+/-2.268 E[stages]=137.795+/-1.267
k=9 PCS=0.934+/-0.002 E[N]/k=727.005+/-2.858 E[stages]=414.437+/-3.210
k=3 PCS=0.883+/-0.003 E[N]/k=522.216+/-3.398 E[stages]=208.874+/-1.933
k=1458 PCS=0.971+/-0.002 E[N]/k=685.260+/-0.454 E[stages]=387.134+/-2.634
k=3 PCS=0.794+/-0.004 E[N]/k=657.657+/-4.143 E[stages]=264.345+/-2.228
k=11 PCS=0.949+/-0.002 E[N]/k=712.655+/-2.477 E[stages]=402.467+/-3.112
k=8 PCS=0.870+/-0.003 E[N]/k=872.904+/-3.622 E[stages]=488.596+/-3.767
k=8942 PCS=0.971+/-0.002 E[N]/k=629.421+/-0.234 E[stages]=273.373+/-1.945
k=6 PCS=0.846+/-0.004 E[N]/k=857.822+/-3.984 E[stages]=448.221+/-3.530
k=2 PCS=0.819+/-0.004 E[N]/k=359.527+/-2.783 E[stages]=99.804+/-1.111
k=19 PCS=0.847+/-0.004 E[N]/k=1015.769+/-3.197 E[stages]=675.215+/-5.190
k=25 PCS=0.904+/-0.003 E[N]/k=909.212+/-2.523 E[stages]=610.645+/-4.909
k=80 PCS=0.962+/-0.002 E[N]/k=788.147+/-1.452 E[stages]=490.296+/-3.816
k=5496 PCS=0.982+/-0.001 E[N]/k=620.070+/-0.291 E[stages]=223.722+/-1.793
k=2 PCS=0.805+/-0.004 E[N]/k=363.261+/-2.816 E[stages]=101.356+/-1.124
k=22 PCS=0.969+/-0.002 E[N]/k=711.120+/-1.855 E[stages]=416.995+/-3.260
k=8926 PCS=0.969+/-0.002 E[N]/k=685.713+/-0.264 E[stages]=331.113+/-2.083
k=10296 PCS=0.971+/-0.002 E[N]/k=670.517+/-0.245 E[stages]=314.353+/-2.029
k=2867 PCS=0.970+/-0.002 E[N]/k=649.542+/-0.350 E[stages]=323.562+/-2.312
k=20 PCS=0.894+/-0.003 E[N]/k=925.409+/-2.794 E[stages]=605.363+/-4.714
k=4 PCS=0.963+/-0.002 E[N]/k=510.569+/-2.511 E[stages]=197.392+/-1.563
k=4 PCS=0.836+/-0.004 E[N]/k=750.982+/-4.106 E[stages]=337.537+/-2.712
k=6491 PCS=0.967+/-0.002 E[N]/k=679.778+/-0.282 E[stages]=336.430+/-2.214
k=870 PCS=0.972+/-0.002 E[N]/k=670.627+/-0.523 E[stages]=400.664+/-2.862
k=12 PCS=0.849+/-0.004 E[N]/k=985.630+/-3.591 E[stages]=608.863+/-4.663
k=609 PCS=0.973+/-0.002 E[N]/k=711.592+/-0.660 E[stages]=398.515+/-2.947
k=733 PCS=0.972+/-0.002 E[N]/k=709.124+/-0.606 E[stages]=420.757+/-2.885
k=490 PCS=0.970+/-0.002 E[N]/k=704.217+/-0.683 E[stages]=425.282+/-3.198
k=9 PCS=0.844+/-0.004 E[N]/k=933.381+/-3.708 E[stages]=537.543+/-4.122
k=4451 PCS=0.967+/-0.002 E[N]/k=695.016+/-0.331 E[stages]=356.138+/-2.278
k=253 PCS=0.965+/-0.002 E[N]/k=725.251+/-0.879 E[stages]=495.545+/-3.656
k=2 PCS=0.937+/-0.002 E[N]/k=276.388+/-1.938 E[stages]=66.705+/-0.771
k=1176 PCS=0.976+/-0.002 E[N]/k=624.316+/-0.442 E[stages]=300.317+/-2.318
k=763 PCS=0.970+/-0.002 E[N]/k=727.030+/-0.620 E[stages]=435.543+/-3.025
k=629 PCS=0.972+/-0.002 E[N]/k=714.605+/-0.649 E[stages]=425.635+/-2.956
k=2 PCS=0.864+/-0.003 E[N]/k=336.231+/-2.561 E[stages]=90.567+/-1.022
k=27 PCS=0.942+/-0.002 E[N]/k=778.355+/-2.022 E[stages]=534.626+/-4.106
k=5 PCS=0.884+/-0.003 E[N]/k=759.566+/-3.722 E[stages]=355.810+/-2.792
k=2 PCS=0.808+/-0.004 E[N]/k=362.327+/-2.819 E[stages]=101.001+/-1.128
k=80 PCS=0.972+/-0.002 E[N]/k=655.727+/-1.082 E[stages]=452.328+/-3.465
k=15 PCS=0.879+/-0.003 E[N]/k=941.063+/-3.170 E[stages]=595.895+/-4.643
k=8379 PCS=0.979+/-0.001 E[N]/k=634.293+/-0.273 E[stages]=215.478+/-1.625
k=135 PCS=0.937+/-0.002 E[N]/k=862.874+/-1.370 E[stages]=599.922+/-4.607
k=3 PCS=0.859+/-0.003 E[N]/k=572.215+/-3.532 E[stages]=223.276+/-1.917
k=3 PCS=0.817+/-0.004 E[N]/k=639.465+/-4.037 E[stages]=255.368+/-2.181
k=69 PCS=0.959+/-0.002 E[N]/k=758.026+/-1.419 E[stages]=520.495+/-3.985
k=33 PCS=0.974+/-0.002 E[N]/k=580.280+/-1.280 E[stages]=412.423+/-3.284
k=14239 PCS=0.966+/-0.002 E[N]/k=710.641+/-0.242 E[stages]=343.160+/-2.023
k=182 PCS=0.979+/-0.001 E[N]/k=640.729+/-0.806 E[stages]=390.943+/-3.015
k=2 PCS=0.986+/-0.001 E[N]/k=197.337+/-1.175 E[stages]=35.585+/-0.462
k=15191 PCS=0.965+/-0.002 E[N]/k=670.462+/-0.218 E[stages]=300.183+/-1.957
k=177 PCS=0.980+/-0.001 E[N]/k=703.307+/-0.933 E[stages]=384.769+/-2.781
k=85 PCS=0.992+/-0.001 E[N]/k=524.372+/-0.774 E[stages]=246.191+/-2.214
k=9 PCS=0.884+/-0.003 E[N]/k=889.768+/-3.433 E[stages]=482.916+/-3.733
k=11 PCS=0.861+/-0.003 E[N]/k=958.408+/-3.536 E[stages]=565.296+/-4.337
k=5 PCS=0.844+/-0.004 E[N]/k=826.306+/-4.178 E[stages]=405.998+/-3.198
k=6435 PCS=0.973+/-0.002 E[N]/k=685.880+/-0.294 E[stages]=320.842+/-2.136
k=4 PCS=0.796+/-0.004 E[N]/k=793.840+/-4.288 E[stages]=359.111+/-2.812
k=844 PCS=0.975+/-0.002 E[N]/k=651.063+/-0.509 E[stages]=362.456+/-2.674
k=5 PCS=0.898+/-0.003 E[N]/k=659.606+/-3.424 E[stages]=344.988+/-2.823
k=6 PCS=0.897+/-0.003 E[N]/k=731.217+/-3.347 E[stages]=376.857+/-3.028
k=38 PCS=0.950+/-0.002 E[N]/k=738.302+/-1.676 E[stages]=531.146+/-4.087
k=3 PCS=0.939+/-0.002 E[N]/k=458.720+/-2.691 E[stages]=165.605+/-1.434
k=12 PCS=0.944+/-0.002 E[N]/k=683.296+/-2.357 E[stages]=440.895+/-3.524
k=4 PCS=0.978+/-0.001 E[N]/k=470.163+/-2.254 E[stages]=173.725+/-1.369
k=4 PCS=0.843+/-0.004 E[N]/k=736.872+/-4.054 E[stages]=334.212+/-2.707
k=586 PCS=0.974+/-0.002 E[N]/k=687.164+/-0.619 E[stages]=405.944+/-2.902
k=15 PCS=0.911+/-0.003 E[N]/k=841.719+/-2.771 E[stages]=543.018+/-4.180
k=108 PCS=0.952+/-0.002 E[N]/k=766.611+/-1.258 E[stages]=560.931+/-4.172
k=34 PCS=0.948+/-0.002 E[N]/k=768.761+/-1.859 E[stages]=531.805+/-4.080
k=3112 PCS=0.965+/-0.002 E[N]/k=710.512+/-0.389 E[stages]=396.965+/-2.573
k=3900 PCS=0.974+/-0.002 E[N]/k=656.585+/-0.321 E[stages]=309.810+/-2.120
k=64 PCS=0.974+/-0.002 E[N]/k=674.746+/-1.196 E[stages]=444.338+/-3.347
