# 10000 replications, RPI_heteroA.dat
# Tue Nov 13 07:06:06 2012
# BIZUNK n0 = 100
k=4 PCS=0.909+/-0.003 E[N]/k=1038.324+/-5.914 E[stages]=519.262+/-4.108
k=4 PCS=0.823+/-0.004 E[N]/k=1131.013+/-6.181 E[stages]=515.838+/-4.055
k=3 PCS=0.960+/-0.002 E[N]/k=487.886+/-2.828 E[stages]=184.835+/-1.593
k=9 PCS=0.932+/-0.003 E[N]/k=1157.172+/-4.610 E[stages]=688.964+/-5.349
k=3 PCS=0.886+/-0.003 E[N]/k=707.854+/-4.721 E[stages]=290.662+/-2.645
k=1458 PCS=0.972+/-0.002 E[N]/k=1006.329+/-0.673 E[stages]=556.243+/-4.163
k=3 PCS=0.801+/-0.004 E[N]/k=1049.536+/-6.690 E[stages]=405.278+/-3.502
k=11 PCS=0.948+/-0.002 E[N]/k=1062.763+/-3.767 E[stages]=631.118+/-4.989
k=8 PCS=0.875+/-0.003 E[N]/k=1211.249+/-5.135 E[stages]=680.905+/-5.432
k=8942 PCS=0.976+/-0.002 E[N]/k=918.087+/-0.344 E[stages]=387.896+/-2.896
k=6 PCS=0.846+/-0.004 E[N]/k=1128.323+/-5.380 E[stages]=588.424+/-4.682
k=2 PCS=0.802+/-0.004 E[N]/k=519.438+/-4.102 E[stages]=163.616+/-1.645
k=19 PCS=0.847+/-0.004 E[N]/k=1446.364+/-4.477 E[stages]=977.232+/-7.389
k=25 PCS=0.908+/-0.003 E[N]/k=1401.418+/-3.962 E[stages]=957.195+/-7.873
k=80 PCS=0.962+/-0.002 E[N]/k=1164.360+/-2.116 E[stages]=700.617+/-5.438
k=5496 PCS=0.981+/-0.001 E[N]/k=903.113+/-0.416 E[stages]=305.428+/-2.516
k=2 PCS=0.806+/-0.004 E[N]/k=389.816+/-3.080 E[stages]=112.270+/-1.235
k=22 PCS=0.965+/-0.002 E[N]/k=968.536+/-2.419 E[stages]=541.306+/-4.081
k=8926 PCS=0.971+/-0.002 E[N]/k=1004.080+/-0.381 E[stages]=469.161+/-3.013
k=10296 PCS=0.972+/-0.002 E[N]/k=978.663+/-0.351 E[stages]=429.771+/-2.756
k=2867 PCS=0.974+/-0.002 E[N]/k=944.481+/-0.501 E[stages]=443.693+/-3.179
k=20 PCS=0.897+/-0.003 E[N]/k=1430.409+/-4.313 E[stages]=941.231+/-7.284
k=4 PCS=0.962+/-0.002 E[N]/k=790.420+/-3.922 E[stages]=327.278+/-2.491
k=4 PCS=0.843+/-0.004 E[N]/k=1027.878+/-5.650 E[stages]=471.899+/-3.730
k=6491 PCS=0.973+/-0.002 E[N]/k=993.843+/-0.416 E[stages]=471.370+/-3.130
k=870 PCS=0.973+/-0.002 E[N]/k=989.832+/-0.768 E[stages]=602.864+/-4.366
k=12 PCS=0.851+/-0.004 E[N]/k=1375.406+/-5.142 E[stages]=812.415+/-6.621
k=609 PCS=0.975+/-0.002 E[N]/k=1046.524+/-0.975 E[stages]=560.151+/-4.101
k=733 PCS=0.973+/-0.002 E[N]/k=1041.835+/-0.888 E[stages]=621.148+/-4.444
k=490 PCS=0.973+/-0.002 E[N]/k=1020.857+/-0.996 E[stages]=592.253+/-4.368
k=9 PCS=0.854+/-0.004 E[N]/k=1507.159+/-6.040 E[stages]=909.956+/-6.934
k=4451 PCS=0.971+/-0.002 E[N]/k=1013.384+/-0.482 E[stages]=500.722+/-3.247
k=253 PCS=0.965+/-0.002 E[N]/k=1055.690+/-1.296 E[stages]=706.439+/-5.339
k=2 PCS=0.930+/-0.003 E[N]/k=372.669+/-2.685 E[stages]=91.965+/-1.022
k=1176 PCS=0.981+/-0.001 E[N]/k=909.134+/-0.636 E[stages]=416.349+/-3.386
k=763 PCS=0.970+/-0.002 E[N]/k=1073.687+/-0.919 E[stages]=636.631+/-4.481
