# 500 replications, RPI_heteroA.dat
# Wed Aug 29 04:20:36 2012
# BIZUNK n0 = 100
k=4 PCS=0.890+/-0.014 E[N]/k=1049.232+/-26.173 E[stages]=523.230+/-17.588
k=4 PCS=0.810+/-0.018 E[N]/k=1117.453+/-27.098 E[stages]=503.102+/-18.642
k=3 PCS=0.954+/-0.009 E[N]/k=477.675+/-11.723 E[stages]=178.508+/-6.513
k=9 PCS=0.922+/-0.012 E[N]/k=1124.688+/-19.874 E[stages]=649.674+/-20.763
k=3 PCS=0.888+/-0.014 E[N]/k=717.543+/-22.010 E[stages]=293.246+/-12.306
k=1458 PCS=0.976+/-0.007 E[N]/k=1013.065+/-3.095 E[stages]=587.536+/-17.783
k=3 PCS=0.792+/-0.018 E[N]/k=1037.953+/-28.008 E[stages]=396.472+/-14.455
k=11 PCS=0.954+/-0.009 E[N]/k=1066.593+/-17.636 E[stages]=658.862+/-23.342
k=8 PCS=0.864+/-0.015 E[N]/k=1242.779+/-24.433 E[stages]=697.968+/-24.881
k=8942 PCS=0.972+/-0.007 E[N]/k=918.948+/-1.582 E[stages]=394.026+/-12.609
k=6 PCS=0.872+/-0.015 E[N]/k=1126.398+/-23.185 E[stages]=572.830+/-19.809
k=2 PCS=0.804+/-0.018 E[N]/k=501.643+/-17.216 E[stages]=156.890+/-6.923
k=19 PCS=0.848+/-0.016 E[N]/k=1446.470+/-21.029 E[stages]=976.200+/-32.107
k=25 PCS=0.912+/-0.013 E[N]/k=1400.692+/-18.031 E[stages]=966.890+/-37.290
k=80 PCS=0.968+/-0.008 E[N]/k=1161.882+/-9.695 E[stages]=700.458+/-24.802
k=5496 PCS=0.986+/-0.005 E[N]/k=902.868+/-1.885 E[stages]=299.610+/-11.291
k=2 PCS=0.796+/-0.018 E[N]/k=356.778+/-12.583 E[stages]=98.774+/-5.017
k=22 PCS=0.970+/-0.008 E[N]/k=969.747+/-10.248 E[stages]=540.892+/-16.505
k=8926 PCS=0.978+/-0.007 E[N]/k=1002.435+/-1.757 E[stages]=456.448+/-12.685
k=10296 PCS=0.966+/-0.008 E[N]/k=981.426+/-1.560 E[stages]=449.178+/-13.590
k=2867 PCS=0.964+/-0.008 E[N]/k=949.704+/-2.236 E[stages]=435.630+/-12.535
k=20 PCS=0.872+/-0.015 E[N]/k=1418.326+/-18.616 E[stages]=937.360+/-30.983
k=4 PCS=0.970+/-0.008 E[N]/k=758.315+/-16.718 E[stages]=315.634+/-10.741
k=4 PCS=0.836+/-0.017 E[N]/k=1040.480+/-25.934 E[stages]=475.096+/-17.175
