# 500 replications, RPI_hetero.dat
# Wed Aug 22 11:59:19 2012
# BIZUNK n0 = 100
k=4 PCS=0.896+/-0.014 E[N]/k=1644.360+/-42.529 E[stages]=846.694+/-30.012
k=4 PCS=0.850+/-0.016 E[N]/k=1243.727+/-30.281 E[stages]=382.154+/-16.214
k=3 PCS=0.958+/-0.009 E[N]/k=322.701+/-7.311 E[stages]=82.176+/-3.774
k=9 PCS=0.928+/-0.012 E[N]/k=1482.937+/-26.887 E[stages]=684.562+/-26.869
k=3 PCS=0.850+/-0.016 E[N]/k=645.425+/-20.735 E[stages]=137.852+/-7.601
k=1458 PCS=0.910+/-0.013 E[N]/k=1470.986+/-4.294 E[stages]=146.584+/-5.716
k=3 PCS=0.820+/-0.017 E[N]/k=1773.847+/-44.556 E[stages]=265.970+/-20.511
k=11 PCS=0.930+/-0.011 E[N]/k=1249.246+/-19.412 E[stages]=452.360+/-18.313
k=8 PCS=0.854+/-0.016 E[N]/k=1239.466+/-24.163 E[stages]=371.336+/-20.259
k=8942 PCS=0.912+/-0.013 E[N]/k=1431.314+/-2.508 E[stages]=92.750+/-3.700
k=6 PCS=0.828+/-0.017 E[N]/k=990.154+/-23.006 E[stages]=294.730+/-14.259
k=2 PCS=0.800+/-0.018 E[N]/k=580.055+/-20.094 E[stages]=182.634+/-8.028
k=19 PCS=0.816+/-0.017 E[N]/k=1618.676+/-22.306 E[stages]=474.148+/-23.828
k=25 PCS=0.918+/-0.012 E[N]/k=1865.559+/-23.656 E[stages]=555.184+/-33.147
k=80 PCS=0.924+/-0.012 E[N]/k=1550.109+/-12.531 E[stages]=265.980+/-17.692
k=5496 PCS=0.954+/-0.009 E[N]/k=1380.638+/-2.939 E[stages]=63.826+/-4.004
k=2 PCS=0.818+/-0.017 E[N]/k=192.556+/-5.445 E[stages]=32.926+/-2.104
k=22 PCS=0.960+/-0.009 E[N]/k=973.138+/-9.659 E[stages]=261.300+/-9.361
k=8926 PCS=0.914+/-0.013 E[N]/k=1536.776+/-2.887 E[stages]=120.478+/-4.165
k=10296 PCS=0.912+/-0.013 E[N]/k=1504.534+/-2.652 E[stages]=114.248+/-4.317
k=2867 PCS=0.906+/-0.013 E[N]/k=1406.878+/-3.492 E[stages]=104.996+/-3.779
k=20 PCS=0.892+/-0.014 E[N]/k=1915.171+/-23.730 E[stages]=680.240+/-32.487
k=4 PCS=0.956+/-0.009 E[N]/k=1018.257+/-21.842 E[stages]=389.710+/-13.257
k=4 PCS=0.812+/-0.017 E[N]/k=973.180+/-26.550 E[stages]=256.544+/-13.942
k=6491 PCS=0.916+/-0.012 E[N]/k=1509.250+/-3.094 E[stages]=129.730+/-4.607
k=870 PCS=0.932+/-0.011 E[N]/k=1443.850+/-4.578 E[stages]=205.102+/-10.456
k=12 PCS=0.822+/-0.017 E[N]/k=1538.479+/-28.637 E[stages]=335.998+/-19.851
k=609 PCS=0.926+/-0.012 E[N]/k=1473.811+/-5.693 E[stages]=170.112+/-6.824
k=733 PCS=0.914+/-0.013 E[N]/k=1470.796+/-5.215 E[stages]=236.566+/-10.519
k=490 PCS=0.918+/-0.012 E[N]/k=1373.004+/-5.516 E[stages]=181.116+/-6.986
k=9 PCS=0.866+/-0.015 E[N]/k=2050.162+/-36.366 E[stages]=901.342+/-35.918
k=4451 PCS=0.890+/-0.014 E[N]/k=1501.735+/-3.288 E[stages]=142.396+/-5.386
k=253 PCS=0.918+/-0.012 E[N]/k=1372.531+/-7.376 E[stages]=236.664+/-8.517
k=2 PCS=0.968+/-0.008 E[N]/k=481.203+/-9.034 E[stages]=16.458+/-1.373
k=1176 PCS=0.954+/-0.009 E[N]/k=1316.264+/-3.673 E[stages]=96.188+/-6.336
k=763 PCS=0.920+/-0.012 E[N]/k=1551.106+/-5.924 E[stages]=201.260+/-8.915
k=629 PCS=0.938+/-0.011 E[N]/k=1464.938+/-5.546 E[stages]=195.456+/-9.840
k=2 PCS=0.844+/-0.016 E[N]/k=366.721+/-10.290 E[stages]=36.976+/-2.623
k=27 PCS=0.916+/-0.012 E[N]/k=1435.994+/-17.290 E[stages]=388.148+/-15.601
k=5 PCS=0.914+/-0.013 E[N]/k=1007.028+/-30.543 E[stages]=299.500+/-17.010
k=2 PCS=0.840+/-0.016 E[N]/k=754.370+/-25.918 E[stages]=183.962+/-8.433
k=80 PCS=0.928+/-0.012 E[N]/k=1209.499+/-6.627 E[stages]=115.698+/-4.170
k=15 PCS=0.890+/-0.014 E[N]/k=1411.549+/-22.386 E[stages]=310.096+/-15.117
k=8379 PCS=0.948+/-0.010 E[N]/k=1453.694+/-2.973 E[stages]=73.370+/-3.414
