# 500 replications, RPI.dat
# Wed Aug 22 05:25:48 2012
# BIZUNK n0 = 100
k=4 PCS=0.902+/-0.013 E[N]/k=580.834+/-15.102 E[stages]=269.178+/-10.459
k=4 PCS=0.802+/-0.018 E[N]/k=781.965+/-19.569 E[stages]=353.482+/-13.182
k=3 PCS=0.946+/-0.010 E[N]/k=381.822+/-9.950 E[stages]=135.932+/-5.524
k=9 PCS=0.950+/-0.010 E[N]/k=721.466+/-11.449 E[stages]=402.840+/-12.105
k=3 PCS=0.890+/-0.014 E[N]/k=544.385+/-16.846 E[stages]=223.902+/-9.654
k=1458 PCS=0.966+/-0.008 E[N]/k=686.848+/-2.105 E[stages]=394.626+/-12.981
k=3 PCS=0.778+/-0.019 E[N]/k=669.563+/-17.699 E[stages]=267.870+/-9.501
k=11 PCS=0.954+/-0.009 E[N]/k=709.089+/-12.104 E[stages]=407.376+/-16.135
k=8 PCS=0.864+/-0.015 E[N]/k=867.902+/-16.626 E[stages]=484.442+/-16.326
k=8942 PCS=0.966+/-0.008 E[N]/k=630.613+/-1.036 E[stages]=276.838+/-8.895
k=6 PCS=0.846+/-0.016 E[N]/k=853.363+/-17.845 E[stages]=445.166+/-15.266
k=2 PCS=0.822+/-0.017 E[N]/k=360.699+/-12.791 E[stages]=100.240+/-5.104
k=19 PCS=0.840+/-0.016 E[N]/k=1006.380+/-14.416 E[stages]=642.296+/-20.249
k=25 PCS=0.906+/-0.013 E[N]/k=909.780+/-11.230 E[stages]=609.114+/-20.505
k=80 PCS=0.962+/-0.009 E[N]/k=776.353+/-6.243 E[stages]=473.000+/-15.858
k=5496 PCS=0.984+/-0.006 E[N]/k=621.659+/-1.332 E[stages]=229.364+/-8.606
k=2 PCS=0.796+/-0.018 E[N]/k=375.248+/-12.661 E[stages]=105.970+/-5.070
k=22 PCS=0.968+/-0.008 E[N]/k=712.660+/-8.421 E[stages]=421.202+/-14.193
k=8926 PCS=0.972+/-0.007 E[N]/k=685.861+/-1.207 E[stages]=333.022+/-8.708
k=10296 PCS=0.980+/-0.006 E[N]/k=670.208+/-1.096 E[stages]=314.338+/-8.682
k=2867 PCS=0.974+/-0.007 E[N]/k=650.441+/-1.499 E[stages]=309.534+/-8.868
k=20 PCS=0.878+/-0.015 E[N]/k=927.365+/-12.467 E[stages]=610.072+/-19.764
k=4 PCS=0.964+/-0.008 E[N]/k=503.446+/-11.203 E[stages]=197.280+/-7.086
k=4 PCS=0.820+/-0.017 E[N]/k=760.369+/-18.421 E[stages]=338.198+/-12.661
k=6491 PCS=0.952+/-0.010 E[N]/k=680.395+/-1.285 E[stages]=335.706+/-9.175
k=870 PCS=0.982+/-0.006 E[N]/k=671.394+/-2.285 E[stages]=401.744+/-13.405
k=12 PCS=0.856+/-0.016 E[N]/k=971.784+/-16.854 E[stages]=595.586+/-22.928
k=609 PCS=0.966+/-0.008 E[N]/k=704.803+/-2.929 E[stages]=388.330+/-11.802
k=733 PCS=0.976+/-0.007 E[N]/k=710.726+/-2.820 E[stages]=410.278+/-12.348
k=490 PCS=0.968+/-0.008 E[N]/k=704.783+/-3.017 E[stages]=424.224+/-13.077
k=9 PCS=0.862+/-0.015 E[N]/k=936.882+/-17.261 E[stages]=535.032+/-18.483
k=4451 PCS=0.970+/-0.008 E[N]/k=694.832+/-1.409 E[stages]=355.748+/-11.513
k=253 PCS=0.956+/-0.009 E[N]/k=721.093+/-4.087 E[stages]=495.486+/-17.149
k=2 PCS=0.938+/-0.011 E[N]/k=286.793+/-8.872 E[stages]=70.828+/-3.541
k=1176 PCS=0.974+/-0.007 E[N]/k=623.324+/-1.940 E[stages]=303.848+/-10.564
k=763 PCS=0.964+/-0.008 E[N]/k=723.457+/-2.987 E[stages]=439.310+/-14.667
k=629 PCS=0.966+/-0.008 E[N]/k=712.588+/-2.900 E[stages]=426.312+/-12.156
k=2 PCS=0.880+/-0.015 E[N]/k=324.885+/-11.001 E[stages]=86.004+/-4.391
k=27 PCS=0.934+/-0.011 E[N]/k=776.150+/-9.120 E[stages]=545.780+/-18.137
k=5 PCS=0.874+/-0.015 E[N]/k=740.675+/-15.265 E[stages]=345.896+/-11.470
k=2 PCS=0.794+/-0.018 E[N]/k=349.992+/-11.747 E[stages]=96.190+/-4.662
k=80 PCS=0.970+/-0.008 E[N]/k=656.144+/-4.947 E[stages]=448.152+/-15.949
k=15 PCS=0.898+/-0.014 E[N]/k=938.871+/-13.671 E[stages]=593.998+/-21.017
k=8379 PCS=0.988+/-0.005 E[N]/k=633.376+/-1.185 E[stages]=221.310+/-7.529
k=135 PCS=0.928+/-0.012 E[N]/k=864.516+/-6.644 E[stages]=615.390+/-23.203
k=3 PCS=0.860+/-0.016 E[N]/k=596.431+/-17.337 E[stages]=237.810+/-9.565
k=3 PCS=0.830+/-0.017 E[N]/k=636.323+/-18.501 E[stages]=255.764+/-10.286
k=69 PCS=0.950+/-0.010 E[N]/k=759.880+/-6.375 E[stages]=511.662+/-18.205
k=33 PCS=0.978+/-0.007 E[N]/k=578.402+/-5.562 E[stages]=421.196+/-15.084
k=14239 PCS=0.976+/-0.007 E[N]/k=709.021+/-1.112 E[stages]=335.218+/-8.501
k=182 PCS=0.982+/-0.006 E[N]/k=639.175+/-3.514 E[stages]=377.832+/-12.218
k=2 PCS=0.986+/-0.005 E[N]/k=198.771+/-6.298 E[stages]=36.382+/-2.489
k=15191 PCS=0.950+/-0.010 E[N]/k=671.326+/-0.978 E[stages]=303.780+/-8.701
k=177 PCS=0.972+/-0.007 E[N]/k=708.323+/-4.157 E[stages]=390.782+/-12.182
k=85 PCS=0.988+/-0.005 E[N]/k=524.459+/-3.328 E[stages]=233.402+/-8.928
k=9 PCS=0.892+/-0.014 E[N]/k=882.130+/-14.826 E[stages]=483.586+/-15.507
k=11 PCS=0.854+/-0.016 E[N]/k=967.093+/-14.693 E[stages]=570.730+/-17.310
k=5 PCS=0.802+/-0.018 E[N]/k=844.106+/-19.653 E[stages]=429.390+/-15.609
k=6435 PCS=0.980+/-0.006 E[N]/k=684.149+/-1.286 E[stages]=317.042+/-9.554
k=4 PCS=0.772+/-0.019 E[N]/k=802.097+/-18.302 E[stages]=366.672+/-12.215
