# 10000 replications, problems/RPI_heteroA.dat
# Sat Sep 14 09:24:03 2013
# KNUNK n0 = 30
k=4 PCS=0.942+/-0.002 E[N]/k=1470.837+/-5.669 E[stages]=2021.859+/-9.093
k=4 PCS=0.881+/-0.003 E[N]/k=1586.251+/-5.922 E[stages]=2001.492+/-8.384
k=3 PCS=0.982+/-0.001 E[N]/k=662.152+/-2.887 E[stages]=779.313+/-3.839
k=9 PCS=0.969+/-0.002 E[N]/k=1907.290+/-5.178 E[stages]=3306.611+/-11.915
k=3 PCS=0.906+/-0.003 E[N]/k=949.144+/-4.405 E[stages]=1159.611+/-6.088
k=1458 PCS=0.999+/-0.000 E[N]/k=3338.673+/-4.479 E[stages]=12854.153+/-26.318
k=3 PCS=0.853+/-0.004 E[N]/k=1390.835+/-6.195 E[stages]=1627.035+/-7.904
k=11 PCS=0.980+/-0.001 E[N]/k=1955.495+/-5.032 E[stages]=3408.899+/-12.397
k=8 PCS=0.937+/-0.002 E[N]/k=2061.373+/-5.970 E[stages]=3293.565+/-12.645
k=8942 PCS=1.000+/-0.000 E[N]/k=3754.727+/-5.041 E[stages]=17603.197+/-34.128
k=6 PCS=0.907+/-0.003 E[N]/k=1671.771+/-5.290 E[stages]=2461.521+/-9.630
k=2 PCS=0.808+/-0.004 E[N]/k=554.208+/-3.405 E[stages]=555.208+/-3.405
k=19 PCS=0.950+/-0.002 E[N]/k=2936.581+/-6.693 E[stages]=5582.223+/-17.700
k=25 PCS=0.968+/-0.002 E[N]/k=2976.477+/-6.395 E[stages]=6198.297+/-19.678
k=80 PCS=0.993+/-0.001 E[N]/k=2600.191+/-4.597 E[stages]=6798.042+/-17.512
k=5496 PCS=1.000+/-0.000 E[N]/k=3023.618+/-4.123 E[stages]=12910.262+/-26.720
k=2 PCS=0.804+/-0.004 E[N]/k=404.661+/-2.431 E[stages]=405.661+/-2.431
k=22 PCS=0.992+/-0.001 E[N]/k=1865.594+/-3.874 E[stages]=3521.690+/-10.474
k=8926 PCS=1.000+/-0.000 E[N]/k=4154.318+/-5.142 E[stages]=18380.257+/-32.787
k=10296 PCS=1.000+/-0.000 E[N]/k=4552.471+/-6.305 E[stages]=20391.021+/-39.872
k=2867 PCS=1.000+/-0.000 E[N]/k=3124.219+/-4.185 E[stages]=12797.028+/-26.131
k=20 PCS=0.965+/-0.002 E[N]/k=2879.320+/-6.377 E[stages]=5584.893+/-18.173
k=4 PCS=0.988+/-0.001 E[N]/k=1201.673+/-4.473 E[stages]=1478.560+/-6.244
k=4 PCS=0.897+/-0.003 E[N]/k=1480.921+/-5.624 E[stages]=1906.265+/-8.336
k=6491 PCS=1.000+/-0.000 E[N]/k=3802.424+/-4.907 E[stages]=16371.566+/-28.963
k=870 PCS=0.998+/-0.000 E[N]/k=3240.707+/-4.473 E[stages]=12115.291+/-27.576
k=12 PCS=0.924+/-0.003 E[N]/k=2275.384+/-5.772 E[stages]=3960.817+/-13.222
k=609 PCS=1.000+/-0.000 E[N]/k=2989.204+/-4.363 E[stages]=10170.605+/-21.445
k=733 PCS=0.999+/-0.000 E[N]/k=3312.569+/-4.740 E[stages]=11896.403+/-26.152
k=490 PCS=0.999+/-0.000 E[N]/k=2914.758+/-4.298 E[stages]=9873.447+/-22.086
k=9 PCS=0.921+/-0.003 E[N]/k=2571.327+/-7.112 E[stages]=4141.543+/-14.760
k=4451 PCS=1.000+/-0.000 E[N]/k=4048.294+/-5.137 E[stages]=16800.038+/-32.264
k=253 PCS=0.997+/-0.001 E[N]/k=2775.928+/-4.146 E[stages]=8857.655+/-20.299
k=2 PCS=0.934+/-0.002 E[N]/k=403.008+/-2.475 E[stages]=404.008+/-2.475
k=1176 PCS=1.000+/-0.000 E[N]/k=3013.386+/-4.302 E[stages]=10943.302+/-25.911
k=763 PCS=0.998+/-0.000 E[N]/k=3328.652+/-4.676 E[stages]=11875.161+/-24.977
k=629 PCS=0.999+/-0.000 E[N]/k=3663.919+/-5.488 E[stages]=12434.283+/-30.040
k=2 PCS=0.861+/-0.003 E[N]/k=437.652+/-2.701 E[stages]=438.652+/-2.701
k=27 PCS=0.980+/-0.001 E[N]/k=2164.627+/-4.380 E[stages]=4942.257+/-15.091
k=5 PCS=0.936+/-0.002 E[N]/k=1558.067+/-5.519 E[stages]=2208.417+/-9.684
k=2 PCS=0.807+/-0.004 E[N]/k=576.897+/-3.557 E[stages]=577.897+/-3.557
k=80 PCS=0.994+/-0.001 E[N]/k=2037.319+/-3.355 E[stages]=5656.083+/-16.961
k=15 PCS=0.947+/-0.002 E[N]/k=2233.611+/-5.241 E[stages]=4023.500+/-13.022
k=8379 PCS=1.000+/-0.000 E[N]/k=3523.400+/-4.701 E[stages]=14298.592+/-27.957
k=135 PCS=0.990+/-0.001 E[N]/k=3571.717+/-5.753 E[stages]=9848.265+/-25.664
k=3 PCS=0.897+/-0.003 E[N]/k=1034.337+/-4.676 E[stages]=1221.869+/-6.064
k=3 PCS=0.857+/-0.003 E[N]/k=1264.715+/-5.673 E[stages]=1484.350+/-7.243
k=69 PCS=0.992+/-0.001 E[N]/k=2617.845+/-4.597 E[stages]=6698.212+/-18.595
k=33 PCS=0.993+/-0.001 E[N]/k=1724.318+/-3.181 E[stages]=4200.410+/-13.605
k=14239 PCS=1.000+/-0.000 E[N]/k=4243.801+/-5.404 E[stages]=18928.198+/-29.457
k=182 PCS=0.998+/-0.000 E[N]/k=2690.688+/-4.392 E[stages]=8619.344+/-24.043
k=2 PCS=0.989+/-0.001 E[N]/k=310.780+/-1.732 E[stages]=311.780+/-1.732
k=15191 PCS=1.000+/-0.000 E[N]/k=4074.447+/-5.120 E[stages]=18672.365+/-32.127
k=177 PCS=0.999+/-0.000 E[N]/k=2489.103+/-3.942 E[stages]=7175.919+/-17.431
