# 1 replications, ../../../biz//problems/ANIMATION.dat
# Tue Apr 16 22:09:13 2013
t,LowerEliminationThreshold,Pstar,Y[0],Y[1],Y[2],Y[3],q[0],q[1],q[2],q[3]
0,0.07168,0.80000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000
1,0.07168,0.80000,0.74513,15.22422,14.02299,-2.79513,0.23458,0.27112,0.26789,0.22642
2,0.07168,0.80000,3.84949,31.35332,17.52875,-11.27635,0.23133,0.30457,0.26524,0.19886
3,0.07168,0.80000,19.45707,40.98299,20.03291,-23.16519,0.25648,0.31808,0.25796,0.16747
4,0.07168,0.80000,22.02203,48.70491,36.17060,-22.80184,0.24411,0.31876,0.28121,0.15592
5,0.07168,0.80000,14.95615,47.74175,34.24461,-40.97872,0.23968,0.33267,0.29066,0.13699
6,0.07168,0.80000,10.52599,54.36352,51.04785,-45.08872,0.21630,0.33530,0.32437,0.12403
7,0.07168,0.80000,-1.75050,58.81033,35.63146,-35.77640,0.20011,0.36668,0.29082,0.14240
8,0.07168,0.80000,-10.30502,63.18752,22.51319,-31.25213,0.18922,0.39459,0.26272,0.15346
9,0.07168,0.80000,-9.77249,69.92429,28.92812,-29.35504,0.18137,0.40243,0.26708,0.14912
10,0.07168,0.80000,-15.15457,50.20254,49.24176,-41.66824,0.17878,0.34368,0.34040,0.13714
11,0.07168,0.80000,-7.22191,54.11663,50.26463,-42.30516,0.18770,0.34662,0.33352,0.13216
12,0.07168,0.80000,6.57335,68.25962,44.81980,-48.09690,0.20417,0.37835,0.29929,0.11819
13,0.07168,0.80000,5.14841,60.29996,55.90620,-57.25944,0.20272,0.35190,0.33677,0.10861
14,0.07168,0.80000,19.90527,45.17633,37.57376,-50.90387,0.25168,0.32404,0.30031,0.12397
15,0.07168,0.80000,16.61539,45.47267,43.59153,-63.36998,0.24429,0.32600,0.31993,0.10978
16,0.07168,0.80000,22.77802,36.03395,48.68534,-79.72344,0.26342,0.30076,0.34132,0.09451
17,0.07168,0.80000,0.56452,27.50784,47.07704,-96.96845,0.23373,0.30600,0.37214,0.08813
18,0.07168,0.80000,6.42319,17.85347,43.91406,-105.57607,0.25626,0.28729,0.37283,0.08361
